id,nama_ruang,max_siswa
1,4.1.5.55,60
2,4.1.5.57,60
3,4.1.5.59,60
4,4.1.5.60,60
5,Online,500
6,4.1.5.56,60
7,4.1.5.58,60
8,4.1.5.61,60
9,4.1.5.62,60
10,4.1.5.63,60
11,4.1.5.64,60
12,4.1.5.65,60
