+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
|  No |                   Mata Kuliah                   | SKS | Kelas |                   Dosen                   |        Waktu        | Ruangan  |
| 206 |                                                 |  3  |   G   |        Dinan Yulianto, S.T., M.Eng.       |      SAB4, SAB5     |  Online  |
| 207 |                                                 |  3  |   H   |        Dinan Yulianto, S.T., M.Eng.       |      JUM4, JUM5     |  Online  |
| 208 |                                                 |  3  |   I   |         Bambang Robiin, S.T.,M.T.         |      KAM2, KAM3     |  Online  |
| 209 |                                                 |  3  |   J   |         Bambang Robiin, S.T.,M.T.         |      SEN7, SEN8     |  Online  |
| 210 |                                                 |  3  |   K   |          Ika Arfiani, S.T., M.Cs.         |      KAM3, KAM4     |  Online  |
| 211 |                     Skripsi                     |  0  |   A   |               Dosen Skripsi               |         KAM1        |  Online  |
| 212 |                Keamanan Informasi               |  3  |   A   |          Nuril Anwar, S.T., M.Kom         |     SEL10, SEL11    |  Online  |
| 213 |                                                 |  3  |   B   |          Nuril Anwar, S.T., M.Kom         |      SEN4, SEN5     |  Online  |
| 214 |                                                 |  3  |   C   |          Nuril Anwar, S.T., M.Kom         |      KAM4, KAM5     |  Online  |
| 215 |                                                 |  3  |   D   |          Nuril Anwar, S.T., M.Kom         |      JUM7, JUM8     |  Online  |
| 216 |                                                 |  3  |   E   |          Nuril Anwar, S.T., M.Kom         |     KAM10, KAM11    |  Online  |
| 217 |               Sistem terdistribusi              |  3  |   A   |          Mushlihudin, S.T., M.T.          |   SEN7, SEN8, SEN9  |  Online  |
| 218 |                 Visualisasi Data                |  3  |   A   |      Murein Miksa Mardhia, S.T., M.T.     |      RAB3, RAB4     |  Online  |
| 219 |                                                 |  3  |   B   |           Supriyanto, S.T., M.T.          |      SAB2, SAB3     |  Online  |
| 220 |                                                 |  3  |   C   |           Supriyanto, S.T., M.T.          |      KAM4, KAM5     |  Online  |
| 221 |                                                 |  3  |   D   |      Herman Yuliansyah, S.T., M.Eng.      |      KAM4, KAM5     |  Online  |
| 222 |                                                 |  3  |   E   |           Supriyanto, S.T., M.T.          |      SAB4, SAB5     |  Online  |
| 223 |                 Pengenalan Pola                 |  3  |   A   |        Ahmad Azhari, S.Kom., M.Eng.       |      SEL7, SEL8     |  Online  |
| 224 |                                                 |  3  |   B   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      SAB7, SAB8     |  Online  |
| 225 |                                                 |  3  |   C   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      JUM4, JUM5     |  Online  |
| 226 |                                                 |  3  |   D   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      SEN1, SEN2     |  Online  |
| 227 |                                                 |  3  |   E   |    Miftahurrahma Rosyda, S.Kom., M.Eng.   |      JUM7, JUM8     |  Online  |
| 228 |               Penglihatan Komputer              |  3  |   A   |           Murinto, S.Si., M.Kom.          |      SAB4, SAB5     |  Online  |
| 229 |                                                 |  3  |   B   |         Adhi Prahara, S.Si., M.Cs.        |      SEN3, SEN4     |  Online  |
| 230 |                                                 |  3  |   C   |         Adhi Prahara, S.Si., M.Cs.        |      SAB1, SAB2     |  Online  |
| 231 |                                                 |  3  |   D   |           Murinto, S.Si., M.Kom.          |     SEN10, SEN11    |  Online  |
| 232 |             Pemrosesan Bahasa Alami             |  3  |   A   |        Dewi Soyusiowaty, S.T., M.T.       |      SEL3, SEL4     |  Online  |
| 233 |                                                 |  3  |   B   |        Dewi Soyusiowaty, S.T., M.T.       |     SEL10, SEL11    |  Online  |
| 234 |                                                 |  3  |   C   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |     SAB10, SAB11    |  Online  |
| 235 |                                                 |  3  |   D   | Anna Hendri Soleliza Jones, S.Kom., M.Cs. |      JUM4, JUM5     |  Online  |
| 236 |                                                 |  3  |   E   |        Dewi Soyusiowaty, S.T., M.T.       |      KAM2, KAM3     |  Online  |
+-----+-------------------------------------------------+-----+-------+-------------------------------------------+---------------------+----------+
